mes,codigo_producto,metodo,prediccion,inferior,superior,half_width,alpha_aci
2025-03-01,MC201030RHRC,KRR,11897.97852322762,2927.082914270877,20868.874132184363,8970.895608956744,0.025000000000000005
2025-03-01,MC201030RHRP,KRR,49636.59833432402,20991.253072795735,78281.94359585231,28645.345261528288,0.025000000000000005
2025-03-01,MC201030RVRC,ANIO_ANTERIOR,0.0,0.0,782.0,782.0,0.11000000000000004
2025-03-01,MC201030RVRP,ANIO_ANTERIOR,2200.0,0.0,10900.0,8700.0,0.060000000000000026
2025-03-01,MC201040RHRC,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,MC201040RHRP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,MC201215RHRC,ANIO_ANTERIOR,390.0,0.0,1568.0,1178.0,0.04500000000000001
2025-03-01,MC201215RHRP,KRR,17235.462938767796,13481.689324549403,20989.23655298619,3753.773614218393,0.060000000000000026
2025-03-01,MC201220LVRP,ANIO_ANTERIOR,0.0,0.0,150.0,150.0,0.060000000000000026
2025-03-01,MC201230RHRC,KRR,21136.314222694815,9213.691918620538,33058.93652676909,11922.622304074277,0.11000000000000004
2025-03-01,MC201230RHRP,KRR,146524.59541918756,117704.09747033901,175345.09336803612,28820.497948848555,0.060000000000000026
2025-03-01,MC201230RVRC,ANIO_ANTERIOR,0.0,0.0,3150.0,3150.0,0.010000000000000016
2025-03-01,MC201230RVRP,KRR,11783.785184026825,26.318209218474294,23541.252158835174,11757.46697480835,0.11000000000000004
2025-03-01,MC201240LVRC,ANIO_ANTERIOR,0.0,0.0,1100.0,1100.0,0.060000000000000026
2025-03-01,MC201240LVRP,ANIO_ANTERIOR,0.0,0.0,2888.0,2888.0,0.01
2025-03-01,MC201240RHRC,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,MC201240RHRP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,MC201520CCRP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,MCCONTROL01,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,MCENSAYO0001,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,MCENSAYO0002,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,MCENSAYO0003,ANIO_ANTERIOR,0.0,0.0,5674.0,5674.0,0.04000000000000001
2025-03-01,MCENSAYO0004,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,MCENSAYO0005,ANIO_ANTERIOR,0.0,0.0,85.0,85.0,0.11000000000000004
2025-03-01,MCENSAYO0015,ANIO_ANTERIOR,0.0,0.0,6120.0,6120.0,0.06000000000000003
2025-03-01,MCENSAYO0016,ANIO_ANTERIOR,0.0,0.0,4186.0,4186.0,0.11000000000000004
2025-03-01,MCENSAYO0017,ANIO_ANTERIOR,0.0,0.0,60751.0,60751.0,0.010000000000000023
2025-03-01,PRESUPUESTO,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
