codigo_producto,metodo,tiene_hiperparametros,n_scores_aci,alpha_aci
TG000325ARMP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000325ARSP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000325ARTP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000325TEKP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000325TELP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000325TENP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047N004P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047N104P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00047N204P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047N304P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047N404P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047N504P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047N604P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047N704P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047N804P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NA04P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00047NB04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NC04P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00047ND04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NE04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NES4P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NF04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NG04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NGU4P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NH04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NI04P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00047NJ04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NK04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NL04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NM04P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00047NN04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NNN4P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NP04P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00047NQ04P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00047NR04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NS04P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00047NSE4P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NT04P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00047NU04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NV04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NX04P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00047NY04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00047NZ04P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000515ERMP,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000515ERRP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ALAE,ANIO_ANTERIOR,False,12,0.060000000000000026
TG000624ALAP,ANIO_ANTERIOR,False,12,0.11000000000000004
