codigo_producto,producto,meses_con_ventas,pct_continuidad,volumen_total
TG00314NSE2P,SEPARADOR 35X14 LOTE 2 PRIMERA,2,3.23,6.0
TG00714NG01E,LETRA G LOTE 1 ECOGRES,2,3.23,6.0
TG00314NSE3P,D SEPARADOR 35X14 LOTE 3,2,3.23,5.0
TG00714N203P,D NUMERO 2 LOTE 3 PRIMERA,2,3.23,5.0
TG00714N503P,D NUMERO 5 LOTE 3 PRIMERA,2,3.23,5.0
TG00714NG03P,D LETRA G LOTE 3 PRIMERA,2,3.23,5.0
TG00047NT04P,D LETRA T LOTE 4 PRIMERA,2,3.23,4.0
TG00714N603P,D NUMERO 6 LOTE 3 PRIMERA,2,3.23,4.0
TG00714NES3P,D ESQUINERO LOTE 3 PRIMERA,2,3.23,4.0
TG01020C023P,D CENEFA 10X20 C-023 PRIMERA,2,3.23,4.0
TG00047N604P,D NUMERO 6 LOTE 4 PRIMERA,2,3.23,3.0
TG00047N804P,D NUMERO 8 LOTE 4 PRIMERA,2,3.23,3.0
TG00714N803P,D NUMERO 8 LOTE 3 PRIMERA,2,3.23,3.0
TG00714NF01E,LETRA F LOTE 1 ECOGRES,2,3.23,3.0
TG00714NG02P,LETRA G LOTE 2 PRIMERA,2,3.23,3.0
TG00714NP01P,LETRA P LOTE 1 PRIMERA,2,3.23,3.0
TG00047NZ04P,D LETRA Z LOTE 4 PRIMERA,2,3.23,2.0
TG00714N403P,D NUMERO 4 LOTE 3 PRIMERA,2,3.23,2.0
TG00714NK01P,LETRA K LOTE 1 PRIMERA,2,3.23,2.0
TG00714NP02P,LETRA P LOTE 2 PRIMERA,2,3.23,2.0
TT082380QHRPTG,TG LADRILLO BLOQUELON X 80 PRIMERA,2,3.23,-93.0
TG000624ELAP,ENCHAPE ARKITEKT LISO ARENA PRIMERA,1,1.61,6042.0
MCENSAYO0001,E LADRILLO CARAVISTA LISO ARENA,1,1.61,5800.0
MC051020DRZP,ADOQUIN RECTANGULAR X5 RUSTICO ROJO MATIZADO P,1,1.61,5300.0
MC061330LVRC,LADRILLO ROMANO PV X 6 LISO ROJO COMERCIAL,1,1.61,2800.0
TG041020DRMP1,LADRILLO ADOQUIN FORTE X4 RUSTICO MORO PRIMERA T1,1,1.61,2600.0
TG201220LVRP,TG LADRILLO ESTRUCTURAL MEDIO PV 20X12X20 LISO ROJ,1,1.61,2100.0
TG061225LVLP,LADRILLO CARAVISTA ARKITEKT SALMONA ARENA PRIMERA,1,1.61,1600.0
TGENSAYO0029,E ADOQUIN RECTANGULAR X2 ARENA,1,1.61,1300.0
TGENSAYO0007,E LADRILLO COMPLEMENTO X10 MORO,1,1.61,1000.0
TGENSAYO0005,E TG TABLETA 10X20 LISA ROJA T003,1,1.61,534.0
TG121006CCAP,LADRILLO CELOSIA CORTE ARKITEKT ARENA PRIMERA,1,1.61,500.0
TG000725ALYE,TABLETA ITALICA 7X25 LISA SPETTRO PRIMAVERA ECOGRE,1,1.61,403.0
TG051239HVAC,LADRILLO GRAN FORMATO ARKITEKT 12 RUSTICO ARENA C,1,1.61,400.0
TGENSAYO0018,E LADRILLO E ARKITEKT 1/4X26 LISO MORO MATIZ,1,1.61,380.0
TG01010T117P,D TOCETO 10X10 T-117 PRIMERA,1,1.61,250.0
TG03232E505P,D EASY GRES 505 PRIMERA,1,1.61,240.0
TGENSAYO0034,E TG LADRILLO ADOQUIN X4 RUSTICO MORO,1,1.61,225.0
TG01010T017P,D ESQUINERO 10X10 E-017 PRIMERA,1,1.61,200.0
TGENSAYO0011,E LADRILLO ESTRUCTURAL PV DE 10X14.5X30 MORO,1,1.61,200.0
TT201030RHRC,TT LADRILLO FAROL PH 10 RAYADO ROJO COMERCIAL,1,1.61,200.0
TGENSAYO0059,E TEJA PIZARRA MORO,1,1.61,150.0
CITG000725ARIP,CI TABLETA ITALICA 7X25 RÚSTICA FIRENZE  PRIMERA,1,1.61,120.0
TG000725ALAX,TABLETA ITALICA 7X25 LISA ARENA EXTRA,1,1.61,100.0
TG001020CLRP2,REMATE ARAGON 10X20 LISO ROJO PRIMERA T2,1,1.61,100.0
TG03232E501P,D EASY GRES 501 PRIMERA,1,1.61,90.0
TG000624ALRE,TABLETA ARKITEKT LISO ROJO ECOGRES,1,1.61,79.0
MC100626NLRP,ADOQUÍN CAÑUELA ROJO PRIMERA,1,1.61,65.0
TG01010T003P,D TOCETO 10X10 T-003 PRIMERA,1,1.61,56.0
TG000624ALME,TABLETA ARKITEKT LISO MORO ECOGRES,1,1.61,52.0
TG001020CLRE1,REMATE ARAGON 10X20 LISO ROJO ECOGRES T1,1,1.61,52.0
TG002020CLCP,D CONTRAHUELLA ESCALERA 20X20 LISA CANELA  PRIME,1,1.61,52.0
TG021020DRMP1,LADRILLO ADOQUIN FORTE X2 RUSTICO MORO PRIMERA T1,1,1.61,49.0
TG03232E509P,D EASY GRES 509 PRIMERA,1,1.61,20.0
TG001020ALME2,TABLETA CLASICA 10X20 LISA MORO ECOGRES T2,1,1.61,18.0
TG01020C011P,CENEFA 10X20 C-011 PRIMERA,1,1.61,16.0
TG001010ALRE,TABLETA CUMANDAY 10X10 LISA ROJA ECOGRES,1,1.61,12.0
TGENSAYO0123,E TG TABLON 20X40 LISO ROJO,1,1.61,11.0
CITG000725ARSP,CI TABLETA ITALICA 7X25 RÚSTICA SALMON PRIMERA,1,1.61,10.0
TG00714NN01E,D LETRA N LOTE 1 ECOGRES,1,1.61,10.0
TG01020C013P,D CENEFA 10X20 C-013 PRIMERA,1,1.61,10.0
TG000725ARAP2,TABLETA ITALICA 7X25 RUSTICA ARENA PRIMERA T2,1,1.61,9.0
TG000725ARMP1,TABLETA ITALICA 7X25 RUSTICA MORO PRIMERA T1,1,1.61,9.0
TG03232E504P,D EASY GRES 504 PRIMERA,1,1.61,8.0
TGENSAYO0004,E TABLETA HEXAGONAL 25X25 LISO ROJO,1,1.61,8.0
TG003122JLME,D TEJA PIZARRA 31X22 LISA MORO ECOGRES,1,1.61,6.0
TG000325TENP,D LISTELO ESMALTADO 35X25 NEGRO,1,1.61,4.0
TG00714N801E,NUMERO 8 LOTE 1 ECOGRES,1,1.61,4.0
TG00714NP01E,D LETRA P LOTE 1 ECOGRES,1,1.61,4.0
TG000515ERRP,SPACATTO 5X15 RÚSTICO ROJO PRIMERA,1,1.61,3.0
TG00714NM01E,D LETRA M LOTE 1 ECOGRES,1,1.61,3.0
TG00714NR02P,LETRA R LOTE 2 PRIMERA,1,1.61,3.0
TG00714NT02P,LETRA T 7X14 LOTE 2 PRIMERA,1,1.61,3.0
TG00714NU01E,LETRA U 7X14 LOTE 1 ECOGRES,1,1.61,3.0
TG00047NNN4P,D LETRA Ñ LOTE 4 PRIMERA,1,1.61,2.0
TG000725ALIP,D TABLETA ITALICA 7X25 LISA FIRENZE  PRIMERA,1,1.61,2.0
TG00714N601E,D NUMERO 6 LOTE 1 ECOGRES,1,1.61,2.0
TG00714NB02P,LETRA B LOTE 2 PRIMERA,1,1.61,2.0
TG00714ND01E,LETRA D LOTE 1 ECOGRES,1,1.61,2.0
TG00714ND03P,D LETRA D LOTE 3 PRIMERA,1,1.61,2.0
TG00714NJ01E,LETRA J LOTE 1 ECOGRES,1,1.61,2.0
TG00714NJ03P,D LETRA J LOTE 3 PRIMERA,1,1.61,2.0
TG00714NK03P,D LETRA K LOTE 3 PRIMERA,1,1.61,2.0
TG00714NS01E,D LETRA S LOTE 1 ECOGRES,1,1.61,2.0
TG00714NZ01E,D LETRA Z 7X14 LOTE 1 ECOGRES,1,1.61,2.0
TG00047N504P,D NUMERO 5 LOTE 4 PRIMERA,1,1.61,1.0
TG00047NB04P,D LETRA B LOTE 4 PRIMERA,1,1.61,1.0
TG00047NV04P,D LETRA V LOTE 4 PRIMERA,1,1.61,1.0
TG00047NX04P,D LETRA X LOTE 4 PRIMERA,1,1.61,1.0
TG001020ALJE,D TABLETA CLASICA 10X20 LISA NOGAL ECOGRES,1,1.61,1.0
TG00714N301E,D NUMERO 3 LOTE 1 ECOGRES,1,1.61,1.0
TG00714N701E,D NUMERO 7 LOTE 1 ECOGRES,1,1.61,1.0
TG00714NF02P,LETRA F LOTE 2 PRIMERA,1,1.61,1.0
TG00714NJ02P,LETRA J LOTE 2 PRIMERA,1,1.61,1.0
TG00714NM03P,LETRA M LOTE 3 PRIMERA,1,1.61,1.0
TG00714NQ01P,LETRA Q LOTE 1 PRIMERA,1,1.61,1.0
TG00714NT01E,D LETRA T 7X14 LOTE 1 ECOGRES,1,1.61,1.0
TG00714NU02P,LETRA U 7X14 LOTE 2 PRIMERA,1,1.61,1.0
TG00714NV02P,LETRA V 7X14 LOTE 2 PRIMERA,1,1.61,1.0
TG00714NZ01P,LETRA Z 7X14 LOTE 1 PRIMERA,1,1.61,1.0
TG00714NZ02P,LETRA Z 7X14 LOTE 2 PRIMERA,1,1.61,1.0
TT061224VLRP,LADRILLO CARAVISTA LISO ROJO PRIMERA,1,1.61,-54.0
CP201030RHRP,CP LADRILLO FAROL PH DE 10 RAYADO ROJO PRIMERA,0,0.0,0.0
LSESTERILA01,C ESTERILLA,0,0.0,0.0
MC000624ELEP,D ENCHAPE CARAVISTA LISO RECOCIDO ROJO PRIMERA,0,0.0,0.0
MC021020DRRP,ADOQUIN RECTANGULAR X2 RUSTICO ROJO PRIMERA,0,0.0,0.0
MC100628CLRP,ALFAGIA ALIGERADA LISO ROJO PRIMERA,0,0.0,0.0
MC201020CCRC,LADRILLO CALADO CIRCULO DE 10 ROJO COMERCIAL,0,0.0,0.0
MC201030RH3P,N LADRILLO FAROL PH 3H DE 10X30 RAYADO ROJO PRIMER,0,0.0,0.0
MCCONTROL01,PRODUCTO CONTROL MC,0,0.0,0.0
PRESUPUESTO,PRESUPUESTO,0,0.0,0.0
TG000325TEKP,D LISTELO ESMALTADO 35X25 CAFE,0,0.0,0.0
TG00047NF04P,D LETRA F LOTE 4 PRIMERA,0,0.0,0.0
TG00047NH04P,D LETRA H LOTE 4 PRIMERA,0,0.0,0.0
TG00047NJ04P,D LETRA J LOTE 4 PRIMERA,0,0.0,0.0
TG00047NK04P,D LETRA K LOTE 4 PRIMERA,0,0.0,0.0
TG00047NY04P,D LETRA Y LOTE 4 PRIMERA,0,0.0,0.0
TG000624ALGP,TABLETA ARKITEKT LISO GRIS PRIMERA,0,0.0,0.0
TG000624ELAC,ENCHAPE ARKITEKT LISO ARENA COMERCIAL,0,0.0,0.0
TG000624ELGC,ENCHAPE ARKITEKT LISO GRIS COMERCIAL,0,0.0,0.0
TG000624ELGP,ENCHAPE ARKITEKT LISO GRIS PRIMERA,0,0.0,0.0
TG000624ELMC,ENCHAPE ARKITEKT LISO MORO COMERCIAL,0,0.0,0.0
TG000624ELMP,ENCHAPE ARKITEKT LISO MORO PRIMERA,0,0.0,0.0
TG000624ELRC,ENCHAPE ARKITEKT LISO ROJO COMERCIAL,0,0.0,0.0
TG000725ARME,TABLETA ITALICA 7X25 RÚSTICA MORO  ECOGRES,0,0.0,0.0
TG000725ARYE,TABLETA ITALICA 7X25 RÚSTICA SPETTRO PRIMAVERA ECO,0,0.0,0.0
TG002020CLJB,D CONTRAHUELLA ESCALERA 20X20 LISA NOGAL PRIMERA,0,0.0,0.0
TG002025CLAE,HUELLA  ESCALERA 25X20 LISA ARENA ECOGRES,0,0.0,0.0
TG00714N401E,D NUMERO 4 LOTE 1 ECOGRES,0,0.0,0.0
TG00714NB01E,LETRA B LOTE 1 ECOGRES,0,0.0,0.0
TG00714NH02P,LETRA H LOTE 2 PRIMERA,0,0.0,0.0
TG00714NK01E,D LETRA K LOTE 1 ECOGRES,0,0.0,0.0
TG00714NK02P,LETRA K LOTE 2 PRIMERA,0,0.0,0.0
TG00714NNN1E,D LETRA Ñ LOTE 1 ECOGRES,0,0.0,0.0
TG00714NNN1P,LETRA Ñ LOTE 1 PRIMERA,0,0.0,0.0
TG00714NNN2P,LETRA Ñ LOTE 2 PRIMERA,0,0.0,0.0
TG00714NQ01E,D LETRA Q LOTE 1 ECOGRES,0,0.0,0.0
TG00714NQ02P,LETRA Q LOTE 2 PRIMERA,0,0.0,0.0
TG00714NT03P,D LETRA T 7X14 LOTE 3 PRIMERA,0,0.0,0.0
TG00714NU03P,LETRA U 7X14 LOTE 3 PRIMERA,0,0.0,0.0
TG00714NV01E,D LETRA V 7X14 LOTE 1 ECOGRES,0,0.0,0.0
TG00714NW01E,D LETRA W 7X14 LOTE 1 ECOGRES,0,0.0,0.0
TG00714NW01P,LETRA W 7X14 LOTE 1 PRIMERA,0,0.0,0.0
TG00714NW02P,LETRA W 7X14 LOTE 2 PRIMERA,0,0.0,0.0
TG00714NX01E,D LETRA X 7X14 LOTE 1 ECOGRES,0,0.0,0.0
TG00714NX01P,LETRA X 7X14 LOTE 1 PRIMERA,0,0.0,0.0
TG00714NX03P,D LETRA X 7X14 LOTE 3 PRIMERA,0,0.0,0.0
TG00714NY01E,D LETRA Y 7X14 LOTE 1 ECOGRES,0,0.0,0.0
TG00714NY02P,LETRA Y 7X14 LOTE 2 PRIMERA,0,0.0,0.0
TG01020C006P,D CENEFA 10X20 C-006 PRIMERA,0,0.0,0.0
TG051439LVAC,LADRILLO GRAN FORMATO ARKITEKT 145 LISO ARENA C,0,0.0,0.0
TG061226LPAP,LADRILLO MULTIPERFORADO ARKITEKT ARENA PRIMERA,0,0.0,0.0
TG092020CLAE,LOMO DE BALLENA 20X20 LISO ARENA ECOGRES,0,0.0,0.0
TGCONTROL01,PRODUCTO CONTROL,0,0.0,0.0
TGENSAYO0002,E CONTRAHUELLA ESCALERA 20X20 LISA NOGAL,0,0.0,0.0
TGENSAYO0064,D TEJA ESPAÑOLA PESEBRE 1,0,0.0,0.0
TGENSAYO0090,E TABLETA DIAG 10X20 LISO ROJO,0,0.0,0.0
TT071919CJRP,ADOQUIN ECOLOGICO 07X19X19 ROJO PRIMERA,0,0.0,0.0
TT100628CLRP,ALFAGIA ALIGERADA LISO ROJO PRIMERA,0,0.0,0.0
TTCONTROL1,PRODUCTO CONTROL TT,0,0.0,0.0
TTENSAYO0014,E LADRILLO ESTRUCTURAL PV 20X12X29,0,0.0,0.0
